# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
35071960.90772,-40081744.18877,-8721374.49895,   0.15870,  -0.17070,  -0.06905,66861955.87837,   0.07871,66361955.87826,   0.06361,  -0.07040,  -0.02370,   0.00012,   2.00000
35244683.53915,-40014077.03079,-8801437.80247,   0.15989,  -0.17168,  -0.06991,66977559.54522,   0.07983,66477559.54511,   0.06453,  -0.07136,  -0.02414,   0.00011,   2.00000
35420033.59129,-39941551.27120,-8882941.93019,   0.16108,  -0.17265,  -0.07078,67092155.70599,   0.08095,66592155.70589,   0.06546,  -0.07233,  -0.02459,   0.00011,   2.00000
35588999.31345,-39874331.60456,-8962202.81549,   0.16226,  -0.17362,  -0.07164,67205580.05895,   0.08207,66705580.05885,   0.06639,  -0.07329,  -0.02504,   0.00010,   2.00000
35765562.14705,-39797455.78309,-9044388.28760,   0.16345,  -0.17458,  -0.07252,67318602.02868,   0.08319,66818602.02859,   0.06731,  -0.07425,  -0.02549,   0.00010,   2.00000
35940151.19549,-39720907.24557,-9124720.46510,   0.16463,  -0.17553,  -0.07339,67429977.92594,   0.08431,66929977.92585,   0.06824,  -0.07520,  -0.02594,   0.00009,   2.00000
36118222.41902,-39640136.99999,-9205758.74567,   0.16582,  -0.17648,  -0.07427,67541363.02462,   0.08543,67041363.02453,   0.06917,  -0.07616,  -0.02640,   0.00009,   2.00000
36293979.77863,-39559321.19457,-9286785.04965,   0.16700,  -0.17742,  -0.07515,67651246.80827,   0.08654,67151246.80819,   0.07009,  -0.07711,  -0.02686,   0.00008,   2.00000
36467944.14840,-39478700.80785,-9368867.11730,   0.16818,  -0.17836,  -0.07604,67760702.75007,   0.08766,67260702.74999,   0.07101,  -0.07806,  -0.02732,   0.00008,   2.00000
36644891.76285,-39393618.29259,-9450575.13946,   0.16936,  -0.17929,  -0.07693,67869140.58961,   0.08877,67369140.58954,   0.07194,  -0.07901,  -0.02779,   0.00008,   2.00000
36824427.11868,-39303696.11941,-9533725.12483,   0.17054,  -0.18021,  -0.07783,67976693.05561,   0.08988,67476693.05554,   0.07286,  -0.07995,  -0.02825,   0.00007,   2.00000
37007276.49134,-39209740.15176,-9614688.50853,   0.17172,  -0.18112,  -0.07872,68083145.02410,   0.09099,67583145.02403,   0.07378,  -0.08089,  -0.02872,   0.00007,   2.00000
37188263.64118,-39116049.45786,-9696706.72220,   0.17290,  -0.18203,  -0.07962,68189211.76730,   0.09210,67689211.76723,   0.07471,  -0.08183,  -0.02920,   0.00007,   2.00000
37367398.88830,-39022622.38336,-9779767.71594,   0.17408,  -0.18294,  -0.08053,68294897.49133,   0.09321,67794897.49127,   0.07563,  -0.08277,  -0.02968,   0.00006,   2.00000
