# sigma_xx, sigma_yy, sigma_zz, sigma_xy, sigma_yz, sigma_xz, epsilon_xx, epsilon_yy, epsilon_zz, epsilon_xy, epsilon_yz, epsilon_xz, vonMises, epsPlastic, hardening, epsilonP_xx, epsilonP_yy, epsilonP_zz, epsilonP_xy, epsilonP_yz, epsilonP_xz, yieldValue, iteration
-63207298.08717,-52093426.75315,-34590217.45209,15809140.55763,   0.00000,   0.00000,  -0.07440,  -0.04551,   0.00000,   0.08221,   0.00000,   0.00000,37070145.17752,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18357881.98778,   0.00000
-63290213.16002,-52156832.39710,-34634113.66714,15877423.55881,   0.00000,   0.00000,  -0.07451,  -0.04556,   0.00000,   0.08256,   0.00000,   0.00000,37180138.18050,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18247888.98481,   0.00000
-63375566.91149,-52225928.29114,-34680448.56079,15945706.55998,   0.00000,   0.00000,  -0.07461,  -0.04562,   0.00000,   0.08292,   0.00000,   0.00000,37290491.17185,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18137535.99346,   0.00000
-63460920.66296,-52295024.18519,-34726783.45444,16012363.77541,   0.00000,   0.00000,  -0.07471,  -0.04568,   0.00000,   0.08326,   0.00000,   0.00000,37398835.07344,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18029192.09187,   0.00000
-63540584.16433,-52361681.40062,-34770679.66948,16080646.77659,   0.00000,   0.00000,  -0.07480,  -0.04574,   0.00000,   0.08362,   0.00000,   0.00000,37507611.34802,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-17920415.81729,   0.00000
-63628376.59441,-52436467.54476,-34819453.24175,16145678.20628,   0.00000,   0.00000,  -0.07490,  -0.04580,   0.00000,   0.08396,   0.00000,   0.00000,37614290.06582,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-17813737.09949,   0.00000
-63713730.34588,-52505563.43881,-34865788.13541,16212335.42171,   0.00000,   0.00000,  -0.07500,  -0.04586,   0.00000,   0.08430,   0.00000,   0.00000,37722853.59637,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-17705173.56894,   0.00000
-63801522.77596,-52580349.58295,-34914561.70767,16277366.85140,   0.00000,   0.00000,  -0.07511,  -0.04593,   0.00000,   0.08464,   0.00000,   0.00000,37829666.52333,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-17598360.64198,   0.00000
-63889315.20604,-52655135.72710,-34963335.27994,16342398.28109,   0.00000,   0.00000,  -0.07521,  -0.04600,   0.00000,   0.08498,   0.00000,   0.00000,37936544.35883,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-17491482.80648,   0.00000
-63977107.63612,-52729921.87124,-35012108.85221,16407429.71078,   0.00000,   0.00000,  -0.07531,  -0.04607,   0.00000,   0.08532,   0.00000,   0.00000,38043486.55581,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-17384540.60950,   0.00000
